AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
49,"1964-09-01 18:00:00",35.3,-74.2,50,0,"120 at 10mph","Tropical Storm",Cleo,"1964-09-01 18:00:00",Unknown
50,"1964-09-02 00:00:00",35,-73.2,65,0,"110 at 9mph","Tropical Storm",Cleo,"1964-09-02 00:00:00",Unknown
51,"1964-09-02 06:00:00",35.2,-72.1,70,0,"75 at 10mph","Tropical Storm",Cleo,"1964-09-02 06:00:00",Unknown
52,"1964-09-02 12:00:00",35.4,-71.1,75,980,"75 at 9mph",Hurricane,Cleo,"1964-09-02 12:00:00",Unknown
53,"1964-09-02 18:00:00",35.8,-69.1,80,0,"75 at 18mph",Hurricane,Cleo,"1964-09-02 18:00:00",Unknown
54,"1964-09-03 00:00:00",35.9,-67.5,80,0,"85 at 14mph",Hurricane,Cleo,"1964-09-03 00:00:00",Unknown
55,"1964-09-03 06:00:00",36.5,-65.4,80,980,"70 at 19mph",Hurricane,Cleo,"1964-09-03 06:00:00",Unknown
56,"1964-09-03 12:00:00",37.1,-63.5,80,983,"70 at 18mph",Hurricane,Cleo,"1964-09-03 12:00:00",Unknown
57,"1964-09-03 18:00:00",37.8,-61,80,982,"70 at 24mph",Hurricane,Cleo,"1964-09-03 18:00:00",Unknown
58,"1964-09-04 00:00:00",38.7,-56.9,85,0,"75 at 37mph",Hurricane,Cleo,"1964-09-04 00:00:00",Unknown
59,"1964-09-04 06:00:00",41,-53,85,0,"50 at 42mph",Hurricane,Cleo,"1964-09-04 06:00:00",Unknown
60,"1964-09-04 12:00:00",44.7,-50.5,85,970,"25 at 47mph",Hurricane,Cleo,"1964-09-04 12:00:00",Unknown
61,"1964-09-04 18:00:00",46.9,-49.8,80,0,"15 at 25mph",Hurricane,Cleo,"1964-09-04 18:00:00",Unknown
62,"1964-09-05 00:00:00",48.8,-49.5,75,0,"5 at 21mph",Hurricane,Cleo,"1964-09-05 00:00:00",Unknown
63,"1964-09-05 06:00:00",51.3,-48.8,75,0,"10 at 28mph",Hurricane,Cleo,"1964-09-05 06:00:00",Unknown
64,"1964-09-05 12:00:00",53.5,-48,70,0,"15 at 25mph","Tropical Storm",Cleo,"1964-09-05 12:00:00",Unknown
1,"1965-09-24 12:00:00",17.5,-84.7,30,1000,"0 at 0mph","Tropical Depression",Debbie,"1965-09-24 12:00:00",Unknown
2,"1965-09-24 18:00:00",18.1,-85,30,0,"335 at 6mph","Tropical Depression",Debbie,"1965-09-24 18:00:00",Unknown
3,"1965-09-25 00:00:00",18.6,-85.4,30,0,"325 at 6mph","Tropical Depression",Debbie,"1965-09-25 00:00:00",Unknown
4,"1965-09-25 06:00:00",19.1,-85.7,30,0,"330 at 5mph","Tropical Depression",Debbie,"1965-09-25 06:00:00",Unknown
5,"1965-09-25 12:00:00",19.6,-86.1,30,1000,"325 at 6mph","Tropical Depression",Debbie,"1965-09-25 12:00:00",Unknown
6,"1965-09-25 18:00:00",20.1,-86.5,30,0,"325 at 6mph","Tropical Depression",Debbie,"1965-09-25 18:00:00",Unknown
7,"1965-09-26 00:00:00",20.5,-86.9,30,0,"315 at 5mph","Tropical Depression",Debbie,"1965-09-26 00:00:00",Unknown
8,"1965-09-26 06:00:00",21,-87.3,30,0,"325 at 6mph","Tropical Depression",Debbie,"1965-09-26 06:00:00",Unknown
9,"1965-09-26 12:00:00",21.5,-87.7,30,0,"325 at 6mph","Tropical Depression",Debbie,"1965-09-26 12:00:00",Unknown
10,"1965-09-26 18:00:00",22,-88.3,30,1000,"310 at 8mph","Tropical Depression",Debbie,"1965-09-26 18:00:00",Unknown
11,"1965-09-27 00:00:00",22.5,-88.9,30,1000,"310 at 8mph","Tropical Depression",Debbie,"1965-09-27 00:00:00",Unknown
12,"1965-09-27 06:00:00",23,-89.5,35,0,"310 at 8mph","Tropical Depression",Debbie,"1965-09-27 06:00:00",Unknown
13,"1965-09-27 12:00:00",23.5,-90.1,35,1000,"310 at 8mph","Tropical Depression",Debbie,"1965-09-27 12:00:00",Unknown
14,"1965-09-27 18:00:00",24.1,-90.3,35,1000,"345 at 6mph","Tropical Depression",Debbie,"1965-09-27 18:00:00",Unknown
15,"1965-09-28 00:00:00",24.8,-90.4,35,0,"355 at 8mph","Tropical Depression",Debbie,"1965-09-28 00:00:00",Unknown
16,"1965-09-28 06:00:00",25.7,-90,35,0,"20 at 10mph","Tropical Depression",Debbie,"1965-09-28 06:00:00",Unknown
17,"1965-09-28 12:00:00",26.5,-89.7,45,1000,"20 at 9mph","Tropical Storm",Debbie,"1965-09-28 12:00:00",Unknown
18,"1965-09-28 18:00:00",27.4,-89.2,50,1000,"25 at 11mph","Tropical Storm",Debbie,"1965-09-28 18:00:00",Unknown
19,"1965-09-29 00:00:00",28.3,-88.7,50,1000,"25 at 11mph","Tropical Storm",Debbie,"1965-09-29 00:00:00",Unknown
20,"1965-09-29 06:00:00",28.6,-88.6,40,0,"15 at 3mph","Tropical Storm",Debbie,"1965-09-29 06:00:00",Unknown
21,"1965-09-29 12:00:00",29,-88.5,40,0,"10 at 4mph","Tropical Storm",Debbie,"1965-09-29 12:00:00",Unknown
22,"1965-09-29 18:00:00",29.5,-88.7,35,0,"340 at 5mph","Tropical Depression",Debbie,"1965-09-29 18:00:00",Unknown
23,"1965-09-30 00:00:00",30,-88.9,35,0,"340 at 5mph","Tropical Depression",Debbie,"1965-09-30 00:00:00",Unknown
1,"1966-07-22 12:00:00",10,-35,30,0,"0 at 0mph","Tropical Depression",Ella,"1966-07-22 12:00:00",Unknown
2,"1966-07-22 18:00:00",10.8,-36.8,30,0,"295 at 21mph","Tropical Depression",Ella,"1966-07-22 18:00:00",Unknown
3,"1966-07-23 00:00:00",11.7,-38.7,30,0,"295 at 23mph","Tropical Depression",Ella,"1966-07-23 00:00:00",Unknown
4,"1966-07-23 06:00:00",12.5,-40.7,30,0,"290 at 24mph","Tropical Depression",Ella,"1966-07-23 06:00:00",Unknown
5,"1966-07-23 12:00:00",13.4,-42.7,35,0,"295 at 24mph","Tropical Depression",Ella,"1966-07-23 12:00:00",Unknown
6,"1966-07-23 18:00:00",14.2,-44.6,35,0,"295 at 23mph","Tropical Depression",Ella,"1966-07-23 18:00:00",Unknown
7,"1966-07-24 00:00:00",15,-46.5,35,0,"295 at 23mph","Tropical Depression",Ella,"1966-07-24 00:00:00",Unknown
8,"1966-07-24 06:00:00",15.7,-48.6,35,0,"290 at 24mph","Tropical Depression",Ella,"1966-07-24 06:00:00",Unknown
9,"1966-07-24 12:00:00",16.3,-50.6,35,0,"285 at 23mph","Tropical Depression",Ella,"1966-07-24 12:00:00",Unknown
10,"1966-07-24 18:00:00",16.8,-52.2,40,1000,"290 at 18mph","Tropical Storm",Ella,"1966-07-24 18:00:00",Unknown
11,"1966-07-25 00:00:00",17.2,-53.5,45,0,"290 at 14mph","Tropical Storm",Ella,"1966-07-25 00:00:00",Unknown
12,"1966-07-25 06:00:00",17.5,-54.6,50,0,"285 at 11mph","Tropical Storm",Ella,"1966-07-25 06:00:00",Unknown
13,"1966-07-25 12:00:00",17.8,-55.8,50,0,"285 at 12mph","Tropical Storm",Ella,"1966-07-25 12:00:00",Unknown
14,"1966-07-25 18:00:00",18.1,-57,50,1000,"285 at 12mph","Tropical Storm",Ella,"1966-07-25 18:00:00",Unknown
15,"1966-07-26 00:00:00",18.4,-58.2,50,0,"285 at 12mph","Tropical Storm",Ella,"1966-07-26 00:00:00",Unknown
16,"1966-07-26 06:00:00",18.8,-59.3,50,0,"290 at 12mph","Tropical Storm",Ella,"1966-07-26 06:00:00",Unknown
17,"1966-07-26 12:00:00",19.3,-60.3,50,1000,"300 at 11mph","Tropical Storm",Ella,"1966-07-26 12:00:00",Unknown
18,"1966-07-26 18:00:00",19.8,-61.1,50,1000,"305 at 10mph","Tropical Storm",Ella,"1966-07-26 18:00:00",Unknown
19,"1966-07-27 00:00:00",20.2,-61.9,50,0,"300 at 9mph","Tropical Storm",Ella,"1966-07-27 00:00:00",Unknown
20,"1966-07-27 06:00:00",20.8,-62.6,50,0,"310 at 9mph","Tropical Storm",Ella,"1966-07-27 06:00:00",Unknown
21,"1966-07-27 12:00:00",21.4,-63.4,50,1000,"310 at 10mph","Tropical Storm",Ella,"1966-07-27 12:00:00",Unknown
22,"1966-07-27 18:00:00",21.9,-64.2,50,0,"305 at 9mph","Tropical Storm",Ella,"1966-07-27 18:00:00",Unknown
23,"1966-07-28 00:00:00",22.5,-65.1,50,0,"305 at 11mph","Tropical Storm",Ella,"1966-07-28 00:00:00",Unknown
24,"1966-07-28 06:00:00",23.1,-66.2,50,0,"300 at 12mph","Tropical Storm",Ella,"1966-07-28 06:00:00",Unknown
25,"1966-07-28 12:00:00",23.7,-67.3,45,0,"300 at 12mph","Tropical Storm",Ella,"1966-07-28 12:00:00",Unknown
26,"1966-07-28 18:00:00",24.3,-68.4,35,0,"300 at 12mph","Tropical Depression",Ella,"1966-07-28 18:00:00",Unknown
1,"1967-09-26 12:00:00",12.5,-47,35,0,"0 at 0mph","Tropical Depression",Edith,"1967-09-26 12:00:00",Unknown
2,"1967-09-26 18:00:00",12.6,-48.4,35,1000,"275 at 14mph","Tropical Depression",Edith,"1967-09-26 18:00:00",Unknown
3,"1967-09-27 00:00:00",12.8,-49.8,35,0,"280 at 14mph","Tropical Depression",Edith,"1967-09-27 00:00:00",Unknown
4,"1967-09-27 06:00:00",13,-50.5,35,0,"285 at 8mph","Tropical Depression",Edith,"1967-09-27 06:00:00",Unknown
5,"1967-09-27 12:00:00",13.2,-51.2,35,1000,"285 at 8mph","Tropical Depression",Edith,"1967-09-27 12:00:00",Unknown
6,"1967-09-27 18:00:00",13.5,-52.1,35,1000,"290 at 10mph","Tropical Depression",Edith,"1967-09-27 18:00:00",Unknown
7,"1967-09-28 00:00:00",13.9,-53,35,1000,"295 at 10mph","Tropical Depression",Edith,"1967-09-28 00:00:00",Unknown
8,"1967-09-28 06:00:00",14.2,-54,35,0,"285 at 11mph","Tropical Depression",Edith,"1967-09-28 06:00:00",Unknown
9,"1967-09-28 12:00:00",14.4,-55.1,45,1000,"280 at 11mph","Tropical Storm",Edith,"1967-09-28 12:00:00",Unknown
10,"1967-09-28 18:00:00",14.5,-56,50,1000,"275 at 9mph","Tropical Storm",Edith,"1967-09-28 18:00:00",Unknown
11,"1967-09-29 00:00:00",14.6,-57,60,0,"275 at 10mph","Tropical Storm",Edith,"1967-09-29 00:00:00",Unknown
12,"1967-09-29 06:00:00",14.6,-57.6,45,0,"270 at 5mph","Tropical Storm",Edith,"1967-09-29 06:00:00",Unknown
13,"1967-09-29 12:00:00",14.7,-58.2,40,1000,"280 at 5mph","Tropical Storm",Edith,"1967-09-29 12:00:00",Unknown
14,"1967-09-29 18:00:00",14.9,-58.7,40,1000,"290 at 5mph","Tropical Storm",Edith,"1967-09-29 18:00:00",Unknown
15,"1967-09-30 00:00:00",14.8,-59.8,40,0,"265 at 11mph","Tropical Storm",Edith,"1967-09-30 00:00:00",Unknown
16,"1967-09-30 06:00:00",14.6,-60.9,35,0,"260 at 11mph","Tropical Depression",Edith,"1967-09-30 06:00:00",Unknown
17,"1967-09-30 12:00:00",14.5,-62,35,1000,"265 at 11mph","Tropical Depression",Edith,"1967-09-30 12:00:00",Unknown
18,"1967-09-30 18:00:00",14.5,-63,35,1000,"270 at 10mph","Tropical Depression",Edith,"1967-09-30 18:00:00",Unknown
19,"1967-10-01 00:00:00",14.5,-64,35,0,"270 at 10mph","Tropical Depression",Edith,"1967-10-01 00:00:00",Unknown
20,"1967-10-01 06:00:00",14.5,-64.7,35,0,"270 at 6mph","Tropical Depression",Edith,"1967-10-01 06:00:00",Unknown
21,"1967-10-01 12:00:00",14.5,-65.5,35,0,"270 at 8mph","Tropical Depression",Edith,"1967-10-01 12:00:00",Unknown
1,"1968-09-11 18:00:00",12.7,-21.1,30,0,"0 at 0mph","Tropical Depression",Edna,"1968-09-11 18:00:00",Unknown
2,"1968-09-12 00:00:00",13,-22.3,30,0,"285 at 13mph","Tropical Depression",Edna,"1968-09-12 00:00:00",Unknown
3,"1968-09-12 06:00:00",13.4,-23.8,30,0,"285 at 17mph","Tropical Depression",Edna,"1968-09-12 06:00:00",Unknown
4,"1968-09-12 12:00:00",13.7,-25.2,35,0,"280 at 14mph","Tropical Depression",Edna,"1968-09-12 12:00:00",Unknown
5,"1968-09-12 18:00:00",13.9,-26.3,35,0,"280 at 11mph","Tropical Depression",Edna,"1968-09-12 18:00:00",Unknown
6,"1968-09-13 00:00:00",14,-27.2,35,0,"275 at 9mph","Tropical Depression",Edna,"1968-09-13 00:00:00",Unknown
7,"1968-09-13 06:00:00",14.2,-28.3,35,0,"280 at 11mph","Tropical Depression",Edna,"1968-09-13 06:00:00",Unknown
8,"1968-09-13 12:00:00",14.3,-29.2,35,0,"275 at 9mph","Tropical Depression",Edna,"1968-09-13 12:00:00",Unknown
9,"1968-09-13 18:00:00",14.5,-30,35,0,"285 at 9mph","Tropical Depression",Edna,"1968-09-13 18:00:00",Unknown
10,"1968-09-14 00:00:00",14.8,-30.9,35,0,"290 at 10mph","Tropical Depression",Edna,"1968-09-14 00:00:00",Unknown
11,"1968-09-14 06:00:00",15,-31.8,35,0,"285 at 9mph","Tropical Depression",Edna,"1968-09-14 06:00:00",Unknown
12,"1968-09-14 12:00:00",15.3,-32.9,35,0,"285 at 12mph","Tropical Depression",Edna,"1968-09-14 12:00:00",Unknown
13,"1968-09-14 18:00:00",15.6,-34,35,0,"285 at 12mph","Tropical Depression",Edna,"1968-09-14 18:00:00",Unknown
14,"1968-09-15 00:00:00",15.8,-34.9,60,1000,"285 at 9mph","Tropical Storm",Edna,"1968-09-15 00:00:00",Unknown
15,"1968-09-15 06:00:00",16,-35.8,65,0,"285 at 9mph","Tropical Storm",Edna,"1968-09-15 06:00:00",Unknown
16,"1968-09-15 12:00:00",16.2,-36.7,65,0,"285 at 9mph","Tropical Storm",Edna,"1968-09-15 12:00:00",Unknown
17,"1968-09-15 18:00:00",16.4,-37.7,65,0,"280 at 10mph","Tropical Storm",Edna,"1968-09-15 18:00:00",Unknown
18,"1968-09-16 00:00:00",16.4,-38.6,65,0,"270 at 9mph","Tropical Storm",Edna,"1968-09-16 00:00:00",Unknown
19,"1968-09-16 06:00:00",16.5,-39.5,65,0,"275 at 9mph","Tropical Storm",Edna,"1968-09-16 06:00:00",Unknown
20,"1968-09-16 12:00:00",16.5,-40.7,65,0,"270 at 12mph","Tropical Storm",Edna,"1968-09-16 12:00:00",Unknown
21,"1968-09-16 18:00:00",16.6,-41.7,65,0,"275 at 10mph","Tropical Storm",Edna,"1968-09-16 18:00:00",Unknown
22,"1968-09-17 00:00:00",16.7,-42.8,65,0,"275 at 11mph","Tropical Storm",Edna,"1968-09-17 00:00:00",Unknown
23,"1968-09-17 06:00:00",16.8,-43.9,65,0,"275 at 11mph","Tropical Storm",Edna,"1968-09-17 06:00:00",Unknown
24,"1968-09-17 12:00:00",16.9,-45,60,0,"275 at 11mph","Tropical Storm",Edna,"1968-09-17 12:00:00",Unknown
25,"1968-09-17 18:00:00",17,-46.2,45,0,"275 at 12mph","Tropical Storm",Edna,"1968-09-17 18:00:00",Unknown
26,"1968-09-18 00:00:00",17.1,-47.7,45,0,"275 at 16mph","Tropical Storm",Edna,"1968-09-18 00:00:00",Unknown
27,"1968-09-18 06:00:00",17.2,-49.2,40,0,"275 at 16mph","Tropical Storm",Edna,"1968-09-18 06:00:00",Unknown
28,"1968-09-18 12:00:00",17.3,-51.1,35,1000,"275 at 20mph","Tropical Depression",Edna,"1968-09-18 12:00:00",Unknown
29,"1968-09-18 18:00:00",17.4,-52.7,30,0,"275 at 17mph","Tropical Depression",Edna,"1968-09-18 18:00:00",Unknown
30,"1968-09-19 00:00:00",17.6,-54.3,30,0,"275 at 17mph","Tropical Depression",Edna,"1968-09-19 00:00:00",Unknown
31,"1968-09-19 06:00:00",17.8,-55.8,30,0,"280 at 16mph","Tropical Depression",Edna,"1968-09-19 06:00:00",Unknown
1,"1969-08-25 00:00:00",29.5,-78.5,35,0,"0 at 0mph","Tropical Depression",Eve,"1969-08-25 00:00:00",Unknown
2,"1969-08-25 06:00:00",29.6,-77.8,35,0,"80 at 6mph","Tropical Depression",Eve,"1969-08-25 06:00:00",Unknown
3,"1969-08-25 12:00:00",29.7,-76.9,35,0,"85 at 8mph","Tropical Depression",Eve,"1969-08-25 12:00:00",Unknown
4,"1969-08-25 18:00:00",29.8,-76,45,0,"85 at 8mph","Tropical Storm",Eve,"1969-08-25 18:00:00",Unknown
5,"1969-08-26 00:00:00",30,-75.1,60,999,"75 at 9mph","Tropical Storm",Eve,"1969-08-26 00:00:00",Unknown
6,"1969-08-26 06:00:00",30.3,-74.3,50,0,"65 at 8mph","Tropical Storm",Eve,"1969-08-26 06:00:00",Unknown
7,"1969-08-26 12:00:00",30.8,-73.6,50,996,"50 at 8mph","Tropical Storm",Eve,"1969-08-26 12:00:00",Unknown
8,"1969-08-26 18:00:00",31.4,-72.7,45,997,"50 at 10mph","Tropical Storm",Eve,"1969-08-26 18:00:00",Unknown
9,"1969-08-27 00:00:00",32,-71.5,35,0,"60 at 12mph","Tropical Depression",Eve,"1969-08-27 00:00:00",Unknown
10,"1969-08-27 06:00:00",32.5,-70,35,0,"70 at 14mph","Tropical Depression",Eve,"1969-08-27 06:00:00",Unknown
11,"1969-08-27 12:00:00",32.7,-68.8,35,0,"80 at 11mph","Tropical Depression",Eve,"1969-08-27 12:00:00",Unknown
12,"1969-08-27 18:00:00",32.8,-67.5,30,1000,"85 at 11mph","Tropical Depression",Eve,"1969-08-27 18:00:00",Unknown
1,"1970-08-17 12:00:00",11,-41,30,0,"0 at 0mph","Tropical Depression",Dorothy,"1970-08-17 12:00:00",Unknown
2,"1970-08-17 18:00:00",11.3,-42.7,30,0,"280 at 18mph","Tropical Depression",Dorothy,"1970-08-17 18:00:00",Unknown
3,"1970-08-18 00:00:00",11.5,-44.3,30,0,"275 at 17mph","Tropical Depression",Dorothy,"1970-08-18 00:00:00",Unknown
4,"1970-08-18 06:00:00",11.8,-45.9,30,0,"280 at 17mph","Tropical Depression",Dorothy,"1970-08-18 06:00:00",Unknown
5,"1970-08-18 12:00:00",12,-47.5,35,0,"275 at 17mph","Tropical Depression",Dorothy,"1970-08-18 12:00:00",Unknown
6,"1970-08-18 18:00:00",12.4,-49.1,35,0,"285 at 18mph","Tropical Depression",Dorothy,"1970-08-18 18:00:00",Unknown
7,"1970-08-19 00:00:00",12.8,-50.7,40,0,"285 at 18mph","Tropical Storm",Dorothy,"1970-08-19 00:00:00",Unknown
8,"1970-08-19 06:00:00",13.1,-52.2,45,0,"280 at 16mph","Tropical Storm",Dorothy,"1970-08-19 06:00:00",Unknown
9,"1970-08-19 12:00:00",13.3,-53.6,60,1000,"280 at 14mph","Tropical Storm",Dorothy,"1970-08-19 12:00:00",Unknown
10,"1970-08-19 18:00:00",13.6,-55,65,1000,"280 at 14mph","Tropical Storm",Dorothy,"1970-08-19 18:00:00",Unknown
11,"1970-08-20 00:00:00",13.7,-56.5,50,1000,"275 at 16mph","Tropical Storm",Dorothy,"1970-08-20 00:00:00",Unknown
12,"1970-08-20 06:00:00",13.8,-58,65,996,"275 at 16mph","Tropical Storm",Dorothy,"1970-08-20 06:00:00",Unknown
13,"1970-08-20 12:00:00",13.9,-59.5,70,998,"275 at 16mph","Tropical Storm",Dorothy,"1970-08-20 12:00:00",Unknown
14,"1970-08-20 18:00:00",14.5,-60.5,70,1000,"300 at 12mph","Tropical Storm",Dorothy,"1970-08-20 18:00:00",Unknown
15,"1970-08-21 00:00:00",14.6,-62,65,0,"275 at 16mph","Tropical Storm",Dorothy,"1970-08-21 00:00:00",Unknown
16,"1970-08-21 06:00:00",14.8,-63.5,60,0,"280 at 16mph","Tropical Storm",Dorothy,"1970-08-21 06:00:00",Unknown
17,"1970-08-21 12:00:00",15,-64.8,50,1000,"280 at 13mph","Tropical Storm",Dorothy,"1970-08-21 12:00:00",Unknown
18,"1970-08-21 18:00:00",15.2,-66,50,1000,"280 at 12mph","Tropical Storm",Dorothy,"1970-08-21 18:00:00",Unknown
19,"1970-08-22 00:00:00",15.4,-67.2,45,1000,"280 at 12mph","Tropical Storm",Dorothy,"1970-08-22 00:00:00",Unknown
20,"1970-08-22 06:00:00",15.6,-68.4,45,0,"280 at 12mph","Tropical Storm",Dorothy,"1970-08-22 06:00:00",Unknown
21,"1970-08-22 12:00:00",15.8,-69.6,40,0,"280 at 12mph","Tropical Storm",Dorothy,"1970-08-22 12:00:00",Unknown
22,"1970-08-22 18:00:00",15.9,-70.8,35,0,"275 at 12mph","Tropical Depression",Dorothy,"1970-08-22 18:00:00",Unknown
23,"1970-08-23 00:00:00",16,-72,35,0,"275 at 12mph","Tropical Depression",Dorothy,"1970-08-23 00:00:00",Unknown
24,"1970-08-23 06:00:00",16.1,-73.2,35,0,"275 at 12mph","Tropical Depression",Dorothy,"1970-08-23 06:00:00",Unknown
25,"1970-08-23 12:00:00",16.2,-74.4,35,0,"275 at 12mph","Tropical Depression",Dorothy,"1970-08-23 12:00:00",Unknown
1,"1971-08-20 12:00:00",11.5,-47,30,0,"0 at 0mph","Tropical Depression",Doria,"1971-08-20 12:00:00",Unknown
2,"1971-08-20 18:00:00",11.6,-48,35,0,"275 at 10mph","Tropical Depression",Doria,"1971-08-20 18:00:00",Unknown
3,"1971-08-21 00:00:00",11.7,-49,35,0,"275 at 10mph","Tropical Depression",Doria,"1971-08-21 00:00:00",Unknown
4,"1971-08-21 06:00:00",11.8,-50,35,0,"275 at 10mph","Tropical Depression",Doria,"1971-08-21 06:00:00",Unknown
5,"1971-08-21 12:00:00",12,-51,35,0,"280 at 10mph","Tropical Depression",Doria,"1971-08-21 12:00:00",Unknown
6,"1971-08-21 18:00:00",12.2,-52.2,35,0,"280 at 12mph","Tropical Depression",Doria,"1971-08-21 18:00:00",Unknown
7,"1971-08-22 00:00:00",12.8,-53.4,35,0,"295 at 14mph","Tropical Depression",Doria,"1971-08-22 00:00:00",Unknown
8,"1971-08-22 06:00:00",13.2,-54.8,35,0,"285 at 16mph","Tropical Depression",Doria,"1971-08-22 06:00:00",Unknown
9,"1971-08-22 12:00:00",14,-56,30,0,"305 at 16mph","Tropical Depression",Doria,"1971-08-22 12:00:00",Unknown
10,"1971-08-22 18:00:00",14.8,-57.5,30,0,"300 at 18mph","Tropical Depression",Doria,"1971-08-22 18:00:00",Unknown
11,"1971-08-23 00:00:00",15.7,-59,30,0,"300 at 19mph","Tropical Depression",Doria,"1971-08-23 00:00:00",Unknown
12,"1971-08-23 06:00:00",16.5,-60.8,30,0,"295 at 21mph","Tropical Depression",Doria,"1971-08-23 06:00:00",Unknown
13,"1971-08-23 12:00:00",17.3,-62.4,30,0,"300 at 19mph","Tropical Depression",Doria,"1971-08-23 12:00:00",Unknown
14,"1971-08-23 18:00:00",18,-64,30,0,"295 at 18mph","Tropical Depression",Doria,"1971-08-23 18:00:00",Unknown
15,"1971-08-24 00:00:00",18.6,-65.4,30,0,"295 at 16mph","Tropical Depression",Doria,"1971-08-24 00:00:00",Unknown
16,"1971-08-24 06:00:00",19.2,-66.9,30,0,"295 at 17mph","Tropical Depression",Doria,"1971-08-24 06:00:00",Unknown
17,"1971-08-24 12:00:00",19.8,-68.3,35,0,"295 at 16mph","Tropical Depression",Doria,"1971-08-24 12:00:00",Unknown
18,"1971-08-24 18:00:00",20.4,-69.8,35,0,"295 at 17mph","Tropical Depression",Doria,"1971-08-24 18:00:00",Unknown
19,"1971-08-25 00:00:00",21,-71,35,0,"300 at 13mph","Tropical Depression",Doria,"1971-08-25 00:00:00",Unknown
20,"1971-08-25 06:00:00",21.8,-72.2,35,0,"305 at 14mph","Tropical Depression",Doria,"1971-08-25 06:00:00",Unknown
21,"1971-08-25 12:00:00",22.5,-73.2,35,0,"305 at 12mph","Tropical Depression",Doria,"1971-08-25 12:00:00",Unknown
22,"1971-08-25 18:00:00",23.2,-74.2,35,0,"305 at 12mph","Tropical Depression",Doria,"1971-08-25 18:00:00",Unknown
23,"1971-08-26 00:00:00",24.2,-75.1,30,0,"320 at 13mph","Tropical Depression",Doria,"1971-08-26 00:00:00",Unknown
24,"1971-08-26 06:00:00",25.4,-75.6,30,0,"340 at 13mph","Tropical Depression",Doria,"1971-08-26 06:00:00",Unknown
25,"1971-08-26 12:00:00",26.8,-76.4,35,0,"335 at 17mph","Tropical Depression",Doria,"1971-08-26 12:00:00",Unknown
26,"1971-08-26 18:00:00",28.2,-77,35,1000,"340 at 16mph","Tropical Depression",Doria,"1971-08-26 18:00:00",Unknown
27,"1971-08-27 00:00:00",29.2,-77.2,45,1000,"350 at 11mph","Tropical Storm",Doria,"1971-08-27 00:00:00",Unknown
28,"1971-08-27 06:00:00",31,-77.2,50,999,"0 at 19mph","Tropical Storm",Doria,"1971-08-27 06:00:00",Unknown
29,"1971-08-27 12:00:00",32.8,-77.2,60,998,"0 at 19mph","Tropical Storm",Doria,"1971-08-27 12:00:00",Unknown
30,"1971-08-27 18:00:00",34.8,-76.8,65,989,"10 at 23mph","Tropical Storm",Doria,"1971-08-27 18:00:00",Unknown
31,"1971-08-28 00:00:00",36.5,-76.5,65,0,"10 at 19mph","Tropical Storm",Doria,"1971-08-28 00:00:00",Unknown
32,"1971-08-28 06:00:00",38.5,-75.3,60,993,"25 at 25mph","Tropical Storm",Doria,"1971-08-28 06:00:00",Unknown
33,"1971-08-28 12:00:00",41.2,-73.7,50,997,"25 at 33mph","Tropical Storm",Doria,"1971-08-28 12:00:00",Unknown
34,"1971-08-28 18:00:00",43.8,-71.8,50,0,"30 at 33mph","Tropical Storm",Doria,"1971-08-28 18:00:00",Unknown
35,"1971-08-29 00:00:00",46,-70,40,0,"30 at 28mph","Extratropical Storm",Doria,"1971-08-29 00:00:00",Unknown
36,"1971-08-29 06:00:00",48,-68,40,0,"35 at 27mph","Extratropical Storm",Doria,"1971-08-29 06:00:00",Unknown
13,"1972-09-00 00:00:00",35.2,-70.8,80,998,"345 at 16mph",Hurricane,Daw,"1972-09-00 00:00:00",Unknown
14,"1972-09-00 06:00:00",36,-71.5,80,0,"325 at 10mph",Hurricane,Daw,"1972-09-00 06:00:00",Unknown
15,"1972-09-00 12:00:00",36.4,-72.4,80,997,"300 at 9mph",Hurricane,Daw,"1972-09-00 12:00:00",Unknown
16,"1972-09-00 18:00:00",36.6,-73.5,75,0,"285 at 10mph",Hurricane,Daw,"1972-09-00 18:00:00",Unknown
1,"1972-09-05 00:00:00",23.8,-79.4,35,0,"0 at 0mph","Tropical Depression",Daw,"1972-09-05 00:00:00",Unknown
2,"1972-09-05 06:00:00",24.3,-80,35,0,"310 at 8mph","Tropical Depression",Daw,"1972-09-05 06:00:00",Unknown
3,"1972-09-05 12:00:00",24.9,-80.4,35,0,"330 at 8mph","Tropical Depression",Daw,"1972-09-05 12:00:00",Unknown
4,"1972-09-05 18:00:00",25.6,-80.5,35,1000,"355 at 8mph","Tropical Depression",Daw,"1972-09-05 18:00:00",Unknown
5,"1972-09-06 00:00:00",26.2,-79.9,35,0,"40 at 9mph","Tropical Depression",Daw,"1972-09-06 00:00:00",Unknown
6,"1972-09-06 06:00:00",26.8,-79,35,0,"55 at 11mph","Tropical Depression",Daw,"1972-09-06 06:00:00",Unknown
7,"1972-09-06 12:00:00",27.3,-77.9,45,0,"65 at 11mph","Tropical Storm",Daw,"1972-09-06 12:00:00",Unknown
8,"1972-09-06 18:00:00",28.2,-76,60,1000,"60 at 21mph","Tropical Storm",Daw,"1972-09-06 18:00:00",Unknown
